3640697927.039	195.965	307.612	33.078	5.093	309.986
3640697927.669	351.499	359.163	63.113	6.700	1380.429
3640697927.714	290.667	369.930	71.545	7.439	2115.897
3640697930.954	36.756	280.735	32.483	5.342	1336.521
3640697932.034	415.824	197.698	49.171	6.062	1452.036
3640697932.124	336.917	198.688	53.561	6.528	779.709
3640697932.214	299.213	384.164	51.431	5.852	1783.698
3640697932.304	173.352	194.769	60.191	7.012	711.324
3640697937.164	275.362	339.433	60.428	6.320	453.013
3640697937.434	30.430	313.101	56.166	6.176	454.040
3640697940.674	41.184	433.475	59.208	6.016	1376.520
3640697942.969	224.312	388.566	47.426	5.937	521.737
3640697944.274	257.572	236.283	29.005	4.859	1081.010
3640697944.454	242.846	432.185	35.222	5.382	1458.404
3640697951.114	377.977	211.986	31.780	5.755	1159.323
3640697952.464	182.712	314.775	50.409	5.972	792.805
3640697952.599	41.311	312.231	57.840	6.272	881.060
3640697953.004	376.831	390.910	54.567	5.656	339.247
3640697953.049	315.663	389.996	61.329	5.984	1052.502
3640697953.094	285.319	388.964	55.622	5.686	618.858
3640697953.139	227.792	386.096	55.069	5.666	1375.175
3640697953.274	89.320	374.496	68.808	6.333	1807.956
3640697955.254	372.113	443.764	24.170	4.317	962.437
3640697958.089	389.888	483.368	37.031	4.560	621.331
3640697958.314	110.802	426.562	25.895	4.800	949.960
3640697961.284	177.026	227.574	60.971	6.718	2277.382
3640697964.658	248.714	316.689	46.977	5.839	342.810
3640697965.109	216.225	209.084	42.634	6.125	1157.417
3640697968.574	76.308	393.073	65.114	6.529	797.887
3640697969.474	226.965	430.709	32.413	5.528	1090.711
3640697969.519	302.420	346.695	50.124	5.808	859.391
3640697971.364	104.508	279.247	49.496	6.096	1283.312
3640697972.624	112.177	342.638	30.163	4.569	599.592
3640697975.414	2.610	324.828	26.035	4.241	1474.786
3640697977.889	330.281	372.448	44.308	5.395	386.796
3640697978.339	359.771	478.378	62.671	7.173	750.157
3640697981.488	245.105	353.239	37.083	5.762	1618.469
3640697985.449	400.500	333.606	56.616	6.176	820.509
3640697985.494	338.189	335.890	52.297	5.758	1535.023
3640697985.539	306.448	336.809	52.123	5.443	669.774
3640697985.629	214.974	336.529	63.555	6.556	470.245
3640697985.674	147.419	331.652	51.474	6.508	1340.353
3640697990.669	84.826	407.938	41.983	5.538	1061.333
3640697995.349	442.347	378.792	39.708	5.154	265.282
3640697995.574	219.752	382.521	61.159	6.252	542.634
3640698000.659	222.702	320.387	56.336	6.239	2265.096
3640698000.884	0.427	294.377	45.684	5.857	1127.957
3640698004.484	122.908	412.660	32.505	4.709	426.943
3640698006.914	329.130	476.004	37.297	4.973	1213.039
3640698007.454	227.667	350.442	42.027	5.491	535.544
3640698012.584	187.211	321.500	51.024	6.099	2449.860
3640698012.629	159.602	319.029	50.429	6.267	1817.216
3640698012.674	104.561	313.396	48.394	5.804	2447.725
3640698012.719	76.781	310.117	48.955	5.874	1899.708
3640698012.764	22.110	303.602	49.023	6.446	1998.813
3640698013.574	402.684	285.266	35.251	4.754	597.440
3640698013.709	222.718	284.519	39.383	5.642	420.880
3640698013.754	238.091	295.584	36.733	4.868	390.862
3640698013.754	160.249	284.691	36.282	5.449	2132.633
3640698016.273	2.289	417.308	51.403	6.498	451.433
3640698016.498	422.993	384.156	73.495	7.351	703.886
