3640697922.314	-5.085	233.619	28.964	5.089
3640697922.314	38.173	-23.708	0.851	0.569
3640697922.314	48.218	314.586	37.498	5.250
3640697922.314	52.342	403.707	15.757	3.501
3640697922.314	58.681	111.909	21.823	4.449
3640697922.314	92.988	-21.801	0.638	0.576
3640697922.314	122.211	-22.141	0.850	0.636
3640697922.314	122.838	269.716	18.638	3.552
3640697922.314	163.487	248.265	70.636	6.311
3640697922.314	183.676	476.507	16.932	3.552
3640697922.314	207.967	-22.135	2.014	0.977
3640697922.314	210.112	304.743	29.291	4.919
3640697922.314	234.794	337.273	32.392	5.111
3640697922.314	241.525	328.288	25.162	4.517
3640697922.314	248.491	357.792	40.846	5.607
3640697922.314	251.545	286.578	16.896	3.544
3640697922.314	267.927	226.452	50.761	6.545
3640697922.314	275.239	366.377	29.719	4.452
3640697922.314	310.641	428.590	14.403	2.550
3640697922.314	309.905	394.292	22.045	4.342
3640697922.314	336.689	-21.252	3.065	1.190
3640697922.314	357.185	215.034	11.752	2.786
3640697922.314	369.668	-20.106	3.486	0.748
3640697922.314	417.889	253.908	40.923	5.100
3640697922.314	418.693	289.774	29.692	4.700
3640697922.359	-2.598	111.907	18.883	4.299
3640697922.359	55.511	266.324	16.136	3.460
3640697922.359	93.223	-21.835	0.956	0.987
3640697922.359	96.015	246.009	30.260	4.684
3640697922.359	106.366	246.088	41.110	5.172
3640697922.359	117.266	478.239	11.722	3.237
3640697922.359	121.995	-22.156	0.637	0.700
3640697922.359	140.483	303.162	24.080	4.353
3640697922.359	166.642	336.607	16.168	3.568
3640697922.359	174.535	286.307	22.707	4.271
3640697922.359	181.587	327.387	19.002	3.974
3640697922.359	195.849	227.915	48.314	6.199
3640697922.359	199.272	354.091	42.573	5.982
3640697922.359	219.861	363.699	32.168	4.935
3640697922.359	241.042	393.245	15.801	3.243
3640697922.359	261.478	429.292	19.434	4.129
3640697922.359	295.840	215.606	21.433	3.891
3640697922.359	353.746	287.295	40.941	5.086
3640697922.359	365.283	251.418	48.414	5.561
3640697922.359	368.419	-19.774	1.901	1.115
3640697922.359	371.533	-20.479	1.373	0.777
3640697922.359	376.223	-20.506	0.634	0.574
3640697922.359	437.084	325.637	37.583	5.641
3640697922.359	479.045	311.940	15.025	3.499
3640697922.404	20.431	263.117	20.584	3.848
3640697922.404	62.954	245.485	24.901	4.193
3640697922.404	75.717	243.242	50.108	6.362
3640697922.404	85.346	479.098	13.406	3.090
3640697922.404	108.282	302.286	35.042	5.521
3640697922.404	133.199	335.660	27.948	4.710
3640697922.404	139.244	286.701	12.940	2.997
3640697922.404	152.763	327.691	14.077	3.260
3640697922.404	158.787	228.957	42.242	5.452
3640697922.404	173.943	351.310	38.613	5.609
3640697922.404	191.636	361.574	25.270	3.940
3640697922.404	209.263	393.313	31.205	4.808
3640697922.404	230.108	427.567	13.593	2.972
3640697922.404	262.183	216.363	19.661	3.418
3640697922.404	319.761	287.363	37.094	5.350
3640697922.404	337.716	249.201	32.927	4.057
3640697922.404	369.555	-20.044	4.014	0.914
3640697922.404	407.860	326.629	42.202	5.494
3640697922.404	444.195	313.078	18.065	4.183
3640697922.404	490.456	405.890	4.265	1.519
3640697922.404	491.721	311.557	1.356	0.679
3640697922.449	-3.711	241.769	29.273	5.567
3640697922.449	15.838	236.972	48.070	6.065
3640697922.449	21.410	479.218	9.335	2.478
3640697922.449	38.190	-23.790	0.532	0.445
3640697922.449	40.645	298.849	29.195	4.803
3640697922.449	64.082	289.229	18.230	3.627
3640697922.449	70.383	333.397	25.885	4.122
3640697922.449	87.786	229.238	36.927	4.909
3640697922.449	92.988	-21.855	0.850	0.861
3640697922.449	96.696	326.139	17.040	3.450
3640697922.449	122.460	346.450	43.495	5.566
3640697922.449	121.995	-22.156	0.637	0.700
3640697922.449	133.921	355.279	29.192	4.690
3640697922.449	144.341	392.535	50.336	6.512
3640697922.449	162.972	424.102	13.614	3.169
3640697922.449	190.068	219.867	18.953	4.173
3640697922.449	208.943	-22.212	4.240	1.186
3640697922.449	249.836	287.654	41.664	5.303
3640697922.449	282.989	246.110	42.525	5.033
3640697922.449	349.603	327.317	32.633	4.785
3640697922.449	386.385	315.106	17.564	4.039
3640697922.449	431.704	409.666	32.078	5.082
3640697922.449	432.619	315.253	19.112	3.717
3640697922.449	456.603	289.812	35.099	5.641
3640697922.449	455.302	448.443	20.067	4.155
3640697922.449	486.287	395.076	21.646	4.070
3640697922.449	491.539	332.740	0.938	0.664
3640697922.494	-5.350	290.566	12.242	2.807
3640697922.494	8.989	330.210	26.344	4.116
